date,home_team,away_team,home_score,away_score,actual,predicted,correct,p_home_win,p_draw,p_away_win,p_correct,log_loss,rps
2022-11-20,Qatar,Ecuador,0,2,away_win,away_win,True,0.289,0.331,0.381,0.381,0.9658,0.2334
2022-11-21,Senegal,Netherlands,0,2,away_win,away_win,True,0.112,0.358,0.53,0.53,0.6358,0.117
2022-11-21,England,Iran,6,2,home_win,home_win,True,0.573,0.272,0.155,0.573,0.5563,0.103
2022-11-21,United States,Wales,1,1,draw,draw,True,0.308,0.378,0.314,0.378,0.9729,0.0967
2022-11-22,Argentina,Saudi Arabia,1,2,away_win,home_win,False,0.852,0.115,0.033,0.033,3.4099,0.8305
2022-11-22,Mexico,Poland,0,0,draw,home_win,False,0.385,0.261,0.354,0.261,1.3413,0.1366
2022-11-22,Denmark,Tunisia,0,0,draw,home_win,False,0.621,0.217,0.161,0.217,1.5259,0.206
2022-11-22,France,Australia,4,1,home_win,home_win,True,0.73,0.185,0.086,0.73,0.3151,0.0402
2022-11-23,Belgium,Canada,1,0,home_win,home_win,True,0.634,0.218,0.148,0.634,0.4564,0.0781
2022-11-23,Morocco,Croatia,0,0,draw,draw,True,0.258,0.41,0.332,0.41,0.8914,0.0884
2022-11-23,Spain,Costa Rica,7,0,home_win,home_win,True,0.689,0.23,0.081,0.689,0.3718,0.0515
2022-11-23,Germany,Japan,1,2,away_win,home_win,False,0.589,0.222,0.189,0.189,1.6644,0.502
2022-11-24,Switzerland,Cameroon,1,0,home_win,home_win,True,0.51,0.281,0.209,0.51,0.674,0.1421
2022-11-24,Brazil,Serbia,2,0,home_win,home_win,True,0.681,0.23,0.089,0.681,0.3847,0.055
2022-11-24,Uruguay,South Korea,0,0,draw,home_win,False,0.408,0.278,0.314,0.278,1.2811,0.1326
2022-11-24,Portugal,Ghana,3,2,home_win,home_win,True,0.765,0.187,0.049,0.765,0.2685,0.0289
2022-11-25,Qatar,Senegal,1,3,away_win,away_win,True,0.172,0.315,0.512,0.512,0.6685,0.1337
2022-11-25,Netherlands,Ecuador,1,1,draw,home_win,False,0.524,0.29,0.186,0.29,1.2372,0.1544
2022-11-25,Wales,Iran,0,2,away_win,draw,False,0.32,0.472,0.209,0.209,1.5673,0.3642
2022-11-25,England,United States,0,0,draw,home_win,False,0.619,0.247,0.134,0.247,1.4001,0.2009
2022-11-26,France,Denmark,2,1,home_win,home_win,True,0.421,0.359,0.22,0.421,0.8645,0.1916
2022-11-26,Tunisia,Australia,0,1,away_win,home_win,False,0.425,0.3,0.274,0.274,1.2933,0.3537
2022-11-26,Argentina,Mexico,2,0,home_win,home_win,True,0.653,0.26,0.087,0.653,0.4256,0.0639
2022-11-26,Poland,Saudi Arabia,2,0,home_win,home_win,True,0.519,0.256,0.225,0.519,0.6562,0.1412
