date,home_team,away_team,home_score,away_score,actual,predicted,correct,p_home_win,p_draw,p_away_win,p_correct,log_loss,rps
2022-11-20,Qatar,Ecuador,0,2,away_win,away_win,True,0.197,0.264,0.539,0.539,0.6186,0.1258
2022-11-21,Senegal,Netherlands,0,2,away_win,away_win,True,0.131,0.239,0.63,0.63,0.4626,0.0772
2022-11-21,England,Iran,6,2,home_win,home_win,True,0.574,0.285,0.142,0.574,0.5558,0.101
2022-11-21,United States,Wales,1,1,draw,home_win,False,0.369,0.355,0.276,0.355,1.0365,0.1063
2022-11-22,Argentina,Saudi Arabia,1,2,away_win,home_win,False,0.777,0.181,0.042,0.042,3.1635,0.7603
2022-11-22,Mexico,Poland,0,0,draw,away_win,False,0.319,0.291,0.39,0.291,1.2354,0.127
2022-11-22,Denmark,Tunisia,0,0,draw,home_win,False,0.537,0.297,0.166,0.297,1.2143,0.1579
2022-11-22,France,Australia,4,1,home_win,home_win,True,0.528,0.297,0.176,0.528,0.6391,0.1269
2022-11-23,Belgium,Canada,1,0,home_win,home_win,True,0.629,0.22,0.151,0.629,0.4641,0.0804
2022-11-23,Morocco,Croatia,0,0,draw,away_win,False,0.289,0.296,0.415,0.296,1.2169,0.1278
2022-11-23,Spain,Costa Rica,7,0,home_win,home_win,True,0.784,0.166,0.05,0.784,0.2432,0.0245
2022-11-23,Germany,Japan,1,2,away_win,home_win,False,0.495,0.26,0.245,0.245,1.4071,0.4076
2022-11-24,Switzerland,Cameroon,1,0,home_win,home_win,True,0.552,0.29,0.158,0.552,0.5951,0.1131
2022-11-24,Brazil,Serbia,2,0,home_win,home_win,True,0.766,0.174,0.06,0.766,0.267,0.0293
2022-11-24,Uruguay,South Korea,0,0,draw,home_win,False,0.533,0.29,0.178,0.29,1.2388,0.1576
2022-11-24,Portugal,Ghana,3,2,home_win,home_win,True,0.779,0.173,0.047,0.779,0.2493,0.0255
2022-11-25,Qatar,Senegal,1,3,away_win,away_win,True,0.274,0.31,0.417,0.417,0.8758,0.2077
2022-11-25,Netherlands,Ecuador,1,1,draw,home_win,False,0.548,0.258,0.195,0.258,1.356,0.169
2022-11-25,Wales,Iran,0,2,away_win,draw,False,0.28,0.37,0.351,0.351,1.0481,0.25
2022-11-25,England,United States,0,0,draw,home_win,False,0.577,0.276,0.148,0.276,1.2891,0.1772
2022-11-26,France,Denmark,2,1,home_win,home_win,True,0.347,0.312,0.341,0.347,1.0598,0.2716
2022-11-26,Tunisia,Australia,0,1,away_win,draw,False,0.303,0.365,0.331,0.331,1.1045,0.2695
2022-11-26,Argentina,Mexico,2,0,home_win,home_win,True,0.681,0.223,0.096,0.681,0.3848,0.0556
2022-11-26,Poland,Saudi Arabia,2,0,home_win,home_win,True,0.548,0.293,0.159,0.548,0.602,0.115
2022-11-27,Japan,Costa Rica,0,1,away_win,home_win,False,0.551,0.297,0.153,0.153,1.8802,0.5106
2022-11-27,Spain,Germany,1,1,draw,home_win,False,0.516,0.251,0.233,0.251,1.3824,0.1603
2022-11-27,Belgium,Morocco,0,2,away_win,home_win,False,0.581,0.251,0.169,0.169,1.78,0.5141
2022-11-27,Croatia,Canada,4,1,home_win,home_win,True,0.454,0.273,0.274,0.454,0.79,0.1866
2022-11-28,Cameroon,Serbia,3,3,draw,away_win,False,0.202,0.3,0.497,0.3,1.2027,0.1441
2022-11-28,Brazil,Switzerland,1,0,home_win,home_win,True,0.69,0.224,0.086,0.69,0.3709,0.0517
2022-11-28,South Korea,Ghana,2,3,away_win,home_win,False,0.471,0.339,0.189,0.189,1.6641,0.4396
2022-11-28,Portugal,Uruguay,2,0,home_win,home_win,True,0.469,0.303,0.228,0.469,0.7567,0.1669
2022-11-29,Wales,England,0,3,away_win,away_win,True,0.119,0.27,0.611,0.611,0.4926,0.0828
2022-11-29,Iran,United States,0,1,away_win,draw,False,0.314,0.353,0.333,0.333,1.0981,0.2713
2022-11-29,Qatar,Netherlands,0,2,away_win,away_win,True,0.086,0.17,0.744,0.744,0.2958,0.0365
2022-11-29,Ecuador,Senegal,1,2,away_win,home_win,False,0.431,0.316,0.253,0.253,1.3753,0.3722
2022-11-30,Poland,Argentina,0,2,away_win,away_win,True,0.112,0.238,0.65,0.65,0.4313,0.0676
2022-11-30,Saudi Arabia,Mexico,1,2,away_win,away_win,True,0.181,0.308,0.511,0.511,0.6708,0.1357
2022-11-30,Australia,Denmark,1,0,home_win,away_win,False,0.177,0.302,0.521,0.177,1.7303,0.4743
2022-11-30,Tunisia,France,1,0,home_win,away_win,False,0.165,0.292,0.543,0.165,1.8038,0.4965
2022-12-01,Japan,Spain,2,1,home_win,away_win,False,0.147,0.253,0.6,0.147,1.9168,0.5437
2022-12-01,Costa Rica,Germany,2,4,away_win,away_win,True,0.088,0.19,0.723,0.723,0.3248,0.0423
2022-12-01,Croatia,Belgium,0,0,draw,away_win,False,0.216,0.23,0.554,0.23,1.4681,0.1765
2022-12-01,Canada,Morocco,1,2,away_win,away_win,True,0.318,0.325,0.358,0.358,1.0275,0.2566
2022-12-02,Ghana,Uruguay,0,2,away_win,away_win,True,0.087,0.229,0.684,0.684,0.3797,0.0537
2022-12-02,South Korea,Portugal,2,1,home_win,away_win,False,0.106,0.246,0.648,0.106,2.2435,0.6097
2022-12-02,Cameroon,Brazil,1,0,home_win,away_win,False,0.032,0.171,0.797,0.032,3.4293,0.7853
2022-12-02,Serbia,Switzerland,2,3,away_win,away_win,True,0.293,0.269,0.438,0.438,0.8253,0.2008
2022-12-03,Netherlands,United States,3,1,home_win,home_win,True,0.526,0.276,0.197,0.526,0.6417,0.1316
2022-12-03,Argentina,Australia,2,1,home_win,home_win,True,0.659,0.251,0.09,0.659,0.4163,0.062
2022-12-04,France,Poland,3,1,home_win,home_win,True,0.499,0.279,0.222,0.499,0.6948,0.1501
2022-12-04,England,Senegal,3,0,home_win,home_win,True,0.671,0.232,0.097,0.671,0.3986,0.0587
2022-12-05,Japan,Croatia,1,1,draw,away_win,False,0.332,0.286,0.381,0.286,1.2501,0.1279
2022-12-05,Brazil,South Korea,4,1,home_win,home_win,True,0.768,0.185,0.046,0.768,0.2634,0.0279
2022-12-06,Morocco,Spain,0,0,draw,away_win,False,0.126,0.251,0.623,0.251,1.3816,0.202
2022-12-06,Portugal,Switzerland,6,1,home_win,home_win,True,0.538,0.273,0.189,0.538,0.6203,0.1247
2022-12-09,Croatia,Brazil,1,1,draw,away_win,False,0.066,0.181,0.752,0.181,1.7065,0.285
2022-12-09,Netherlands,Argentina,2,2,draw,away_win,False,0.205,0.292,0.502,0.292,1.2293,0.1472
2022-12-10,England,France,1,2,away_win,home_win,False,0.427,0.309,0.263,0.263,1.335,0.3628
2022-12-10,Morocco,Portugal,1,0,home_win,away_win,False,0.124,0.263,0.614,0.124,2.0915,0.5724
