date,home_team,away_team,home_score,away_score,actual,predicted,correct,p_home_win,p_draw,p_away_win,p_correct,log_loss,rps
2022-11-20,Qatar,Ecuador,0,2,away_win,away_win,True,0.221,0.286,0.493,0.493,0.707,0.1529
2022-11-21,Senegal,Netherlands,0,2,away_win,away_win,True,0.091,0.304,0.604,0.604,0.5035,0.0824
2022-11-21,England,Iran,6,2,home_win,home_win,True,0.557,0.272,0.171,0.557,0.5851,0.1127
2022-11-21,United States,Wales,1,1,draw,draw,True,0.356,0.357,0.287,0.357,1.0295,0.1045
2022-11-22,Argentina,Saudi Arabia,1,2,away_win,home_win,False,0.874,0.096,0.03,0.03,3.5094,0.8526
2022-11-22,Mexico,Poland,0,0,draw,home_win,False,0.392,0.291,0.316,0.291,1.233,0.127
2022-11-22,Denmark,Tunisia,0,0,draw,home_win,False,0.625,0.216,0.159,0.216,1.534,0.2081
2022-11-22,France,Australia,4,1,home_win,home_win,True,0.723,0.175,0.102,0.723,0.3243,0.0436
2022-11-23,Belgium,Canada,1,0,home_win,home_win,True,0.562,0.264,0.175,0.562,0.5771,0.1114
2022-11-23,Morocco,Croatia,0,0,draw,away_win,False,0.285,0.349,0.365,0.349,1.0517,0.1074
2022-11-23,Spain,Costa Rica,7,0,home_win,home_win,True,0.666,0.24,0.094,0.666,0.4064,0.0602
2022-11-23,Germany,Japan,1,2,away_win,home_win,False,0.53,0.264,0.205,0.205,1.5831,0.4564
2022-11-24,Switzerland,Cameroon,1,0,home_win,home_win,True,0.546,0.265,0.19,0.546,0.6057,0.1212
2022-11-24,Brazil,Serbia,2,0,home_win,home_win,True,0.695,0.217,0.089,0.695,0.3642,0.0505
2022-11-24,Uruguay,South Korea,0,0,draw,home_win,False,0.418,0.283,0.299,0.283,1.2621,0.132
2022-11-24,Portugal,Ghana,3,2,home_win,home_win,True,0.747,0.204,0.048,0.747,0.291,0.0331
2022-11-25,Qatar,Senegal,1,3,away_win,away_win,True,0.189,0.314,0.497,0.497,0.6986,0.1441
2022-11-25,Netherlands,Ecuador,1,1,draw,home_win,False,0.468,0.334,0.199,0.334,1.0975,0.1291
2022-11-25,Wales,Iran,0,2,away_win,draw,False,0.3,0.472,0.229,0.229,1.4761,0.3426
2022-11-25,England,United States,0,0,draw,home_win,False,0.627,0.239,0.134,0.239,1.4307,0.2053
2022-11-26,France,Denmark,2,1,home_win,home_win,True,0.394,0.336,0.27,0.394,0.9326,0.2204
2022-11-26,Tunisia,Australia,0,1,away_win,home_win,False,0.382,0.324,0.294,0.294,1.2244,0.3223
2022-11-26,Argentina,Mexico,2,0,home_win,home_win,True,0.668,0.242,0.089,0.668,0.4028,0.0589
2022-11-26,Poland,Saudi Arabia,2,0,home_win,home_win,True,0.476,0.294,0.229,0.476,0.7418,0.1635
2022-11-27,Japan,Costa Rica,0,1,away_win,home_win,False,0.557,0.256,0.187,0.187,1.6772,0.4857
2022-11-27,Spain,Germany,1,1,draw,home_win,False,0.529,0.269,0.202,0.269,1.3114,0.1601
2022-11-27,Belgium,Morocco,0,2,away_win,home_win,False,0.655,0.215,0.13,0.13,2.0393,0.5926
2022-11-27,Croatia,Canada,4,1,home_win,home_win,True,0.41,0.348,0.242,0.41,0.8916,0.2032
2022-11-28,Cameroon,Serbia,3,3,draw,away_win,False,0.148,0.293,0.559,0.293,1.2285,0.1674
2022-11-28,Brazil,Switzerland,1,0,home_win,home_win,True,0.696,0.205,0.099,0.696,0.3627,0.0512
2022-11-28,South Korea,Ghana,2,3,away_win,home_win,False,0.566,0.313,0.121,0.121,2.113,0.5469
2022-11-28,Portugal,Uruguay,2,0,home_win,home_win,True,0.433,0.337,0.23,0.433,0.838,0.1874
