date,home_team,away_team,home_score,away_score,actual,predicted,correct,p_home_win,p_draw,p_away_win,p_correct,log_loss,rps
2022-11-20,Qatar,Ecuador,0,2,away_win,away_win,True,0.172,0.364,0.464,0.464,0.7679,0.1585
2022-11-21,Senegal,Netherlands,0,2,away_win,away_win,True,0.094,0.241,0.664,0.664,0.4088,0.0608
2022-11-21,England,Iran,6,2,home_win,home_win,True,0.536,0.292,0.173,0.536,0.6244,0.1228
2022-11-21,United States,Wales,1,1,draw,draw,True,0.355,0.382,0.263,0.382,0.962,0.0976
2022-11-22,Argentina,Saudi Arabia,1,2,away_win,home_win,False,0.834,0.133,0.033,0.033,3.3996,0.8148
2022-11-22,Mexico,Poland,0,0,draw,draw,True,0.357,0.381,0.262,0.381,0.965,0.098
2022-11-22,Denmark,Tunisia,0,0,draw,home_win,False,0.474,0.322,0.204,0.322,1.1334,0.1331
2022-11-22,France,Australia,4,1,home_win,home_win,True,0.619,0.246,0.136,0.619,0.4803,0.0819
2022-11-23,Belgium,Canada,1,0,home_win,home_win,True,0.459,0.322,0.219,0.459,0.7786,0.1702
2022-11-23,Morocco,Croatia,0,0,draw,draw,True,0.255,0.379,0.367,0.379,0.9714,0.0997
2022-11-23,Spain,Costa Rica,7,0,home_win,home_win,True,0.596,0.281,0.123,0.596,0.517,0.0891
2022-11-23,Germany,Japan,1,2,away_win,home_win,False,0.441,0.337,0.222,0.222,1.5057,0.3999
2022-11-24,Switzerland,Cameroon,1,0,home_win,home_win,True,0.635,0.254,0.111,0.635,0.4543,0.0728
2022-11-24,Brazil,Serbia,2,0,home_win,home_win,True,0.638,0.248,0.114,0.638,0.4502,0.0722
2022-11-24,Uruguay,South Korea,0,0,draw,draw,True,0.368,0.377,0.255,0.377,0.9764,0.1003
2022-11-24,Portugal,Ghana,3,2,home_win,home_win,True,0.742,0.2,0.057,0.742,0.2979,0.0348
2022-11-25,Qatar,Senegal,1,3,away_win,away_win,True,0.226,0.375,0.4,0.4,0.9174,0.2058
2022-11-25,Netherlands,Ecuador,1,1,draw,home_win,False,0.466,0.351,0.183,0.351,1.0473,0.1253
2022-11-25,Wales,Iran,0,2,away_win,draw,False,0.31,0.434,0.257,0.257,1.3597,0.3242
2022-11-25,England,United States,0,0,draw,home_win,False,0.605,0.258,0.137,0.258,1.3542,0.1922
2022-11-26,France,Denmark,2,1,home_win,draw,False,0.339,0.361,0.3,0.339,1.0829,0.2637
2022-11-26,Tunisia,Australia,0,1,away_win,draw,False,0.304,0.415,0.281,0.281,1.2685,0.3044
2022-11-26,Argentina,Mexico,2,0,home_win,home_win,True,0.621,0.267,0.112,0.621,0.4763,0.0781
2022-11-26,Poland,Saudi Arabia,2,0,home_win,draw,False,0.375,0.381,0.244,0.375,0.9813,0.2252
2022-11-27,Japan,Costa Rica,0,1,away_win,home_win,False,0.388,0.382,0.23,0.23,1.4697,0.3716
2022-11-27,Spain,Germany,1,1,draw,home_win,False,0.563,0.268,0.169,0.268,1.3157,0.1728
2022-11-27,Belgium,Morocco,0,2,away_win,home_win,False,0.552,0.285,0.163,0.163,1.8152,0.5028
2022-11-27,Croatia,Canada,4,1,home_win,home_win,True,0.393,0.37,0.237,0.393,0.9329,0.212
2022-11-28,Cameroon,Serbia,3,3,draw,away_win,False,0.086,0.211,0.703,0.211,1.5537,0.2505
2022-11-28,Brazil,Switzerland,1,0,home_win,home_win,True,0.615,0.272,0.114,0.615,0.4866,0.0807
2022-11-28,South Korea,Ghana,2,3,away_win,home_win,False,0.56,0.305,0.134,0.134,2.008,0.5318
2022-11-28,Portugal,Uruguay,2,0,home_win,draw,False,0.303,0.406,0.291,0.303,1.193,0.285
2022-11-29,Wales,England,0,3,away_win,away_win,True,0.095,0.216,0.689,0.689,0.372,0.0528
2022-11-29,Iran,United States,0,1,away_win,draw,False,0.25,0.399,0.351,0.351,1.0468,0.2417
2022-11-29,Qatar,Netherlands,0,2,away_win,away_win,True,0.073,0.205,0.722,0.722,0.3261,0.0414
2022-11-29,Ecuador,Senegal,1,2,away_win,draw,False,0.351,0.401,0.248,0.248,1.3949,0.3445
2022-11-30,Poland,Argentina,0,2,away_win,away_win,True,0.07,0.206,0.725,0.725,0.3221,0.0403
2022-11-30,Saudi Arabia,Mexico,1,2,away_win,away_win,True,0.169,0.359,0.472,0.472,0.751,0.1538
2022-11-30,Australia,Denmark,1,0,home_win,away_win,False,0.191,0.348,0.461,0.191,1.6568,0.4339
2022-11-30,Tunisia,France,1,0,home_win,away_win,False,0.066,0.178,0.755,0.066,2.7134,0.7211
2022-12-01,Japan,Spain,2,1,home_win,away_win,False,0.113,0.242,0.646,0.113,2.1843,0.6022
2022-12-01,Costa Rica,Germany,2,4,away_win,away_win,True,0.157,0.303,0.54,0.54,0.6153,0.1179
2022-12-01,Croatia,Belgium,0,0,draw,draw,True,0.319,0.404,0.276,0.404,0.9055,0.0892
2022-12-01,Canada,Morocco,1,2,away_win,away_win,True,0.192,0.363,0.445,0.445,0.8092,0.1723
2022-12-02,Ghana,Uruguay,0,2,away_win,away_win,True,0.119,0.27,0.612,0.612,0.4915,0.0824
2022-12-02,South Korea,Portugal,2,1,home_win,away_win,False,0.152,0.26,0.588,0.152,1.8841,0.5327
2022-12-02,Cameroon,Brazil,1,0,home_win,away_win,False,0.013,0.053,0.934,0.013,4.329,0.9228
2022-12-02,Serbia,Switzerland,2,3,away_win,draw,False,0.288,0.37,0.342,0.342,1.072,0.2576
2022-12-03,Netherlands,United States,3,1,home_win,home_win,True,0.654,0.242,0.105,0.654,0.4247,0.0653
2022-12-03,Argentina,Australia,2,1,home_win,home_win,True,0.678,0.238,0.084,0.678,0.3888,0.0554
2022-12-04,France,Poland,3,1,home_win,home_win,True,0.61,0.265,0.125,0.61,0.4951,0.0841
2022-12-04,England,Senegal,3,0,home_win,home_win,True,0.688,0.211,0.1,0.688,0.3733,0.0536
2022-12-05,Japan,Croatia,1,1,draw,draw,True,0.237,0.409,0.354,0.409,0.8946,0.0908
2022-12-05,Brazil,South Korea,4,1,home_win,home_win,True,0.55,0.291,0.159,0.55,0.5976,0.1139
2022-12-06,Morocco,Spain,0,0,draw,away_win,False,0.205,0.332,0.463,0.332,1.1028,0.1281
2022-12-06,Portugal,Switzerland,6,1,home_win,draw,False,0.334,0.367,0.299,0.334,1.0969,0.2664
2022-12-09,Croatia,Brazil,1,1,draw,away_win,False,0.218,0.275,0.508,0.275,1.2923,0.1525
2022-12-09,Netherlands,Argentina,2,2,draw,draw,True,0.315,0.376,0.309,0.376,0.9786,0.0974
2022-12-10,England,France,1,2,away_win,home_win,False,0.436,0.34,0.225,0.225,1.4937,0.3956
2022-12-10,Morocco,Portugal,1,0,home_win,draw,False,0.256,0.383,0.361,0.256,1.3644,0.3424
2022-12-13,Argentina,Croatia,3,0,home_win,draw,False,0.335,0.341,0.324,0.335,1.0936,0.2735
2022-12-14,France,Morocco,2,0,home_win,draw,False,0.327,0.391,0.282,0.327,1.1165,0.2659
2022-12-17,Croatia,Morocco,2,1,home_win,draw,False,0.261,0.445,0.295,0.261,1.3451,0.3168
2022-12-18,Argentina,France,3,3,draw,home_win,False,0.382,0.374,0.244,0.374,0.983,0.1026
